Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,20,7
Northwest Territory,0,0,1,20,7
Greenland,0,0,1,20,7
Alberta,0,0,1,20,7
Ontario,0,0,5,20,7
Quebec,0,0,40,20,7
Western United States,0,0,1,20,7
Eastern United States,0,0,1,20,7
Central America,0,1,0,20,7
Venezuela,0,3,0,20,7
Peru,0,5,0,20,7
Brazil,0,13,0,20,7
Argentina,0,1,0,20,7
North Africa,0,1,0,20,7
Egypt,0,1,0,20,7
East Africa,1,0,0,20,7
Congo,0,1,0,20,7
South Africa,0,0,1,20,7
Madagascar,0,1,0,20,7
Western Europe,1,0,0,20,7
Southern Europe,1,0,0,20,7
Northern Europe,1,0,0,20,7
Great Britain,0,1,0,20,7
Iceland,1,0,0,20,7
Scandinavia,1,0,0,20,7
Ukraine,3,0,0,20,7
Afghanistan,1,0,0,20,7
Ural,1,0,0,20,7
Siberia,0,0,1,20,7
Yakutsk,1,0,0,20,7
Kamchatka,1,0,0,20,7
Irkutsk,1,0,0,20,7
Mongolia,1,0,0,20,7
Japan,1,0,0,20,7
China,1,0,0,20,7
India,1,0,0,20,7
Siam,1,0,0,20,7
Indonesia,0,1,0,20,7
New Guinea,0,0,1,20,7
Western Australia,1,0,0,20,7
Eastern Australia,0,0,1,20,7
Middle East,2,0,0,20,7
