Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,34,12
Northwest Territory,0,0,1,34,12
Greenland,0,0,1,34,12
Alberta,0,0,1,34,12
Ontario,0,0,8,34,12
Quebec,0,0,52,34,12
Western United States,0,0,1,34,12
Eastern United States,0,0,1,34,12
Central America,0,1,0,34,12
Venezuela,0,1,0,34,12
Peru,0,1,0,34,12
Brazil,0,30,0,34,12
Argentina,0,1,0,34,12
North Africa,0,1,0,34,12
Egypt,1,0,0,34,12
East Africa,1,0,0,34,12
Congo,1,0,0,34,12
South Africa,8,0,0,34,12
Madagascar,1,0,0,34,12
Western Europe,15,0,0,34,12
Southern Europe,1,0,0,34,12
Northern Europe,1,0,0,34,12
Great Britain,2,0,0,34,12
Iceland,1,0,0,34,12
Scandinavia,1,0,0,34,12
Ukraine,14,0,0,34,12
Afghanistan,1,0,0,34,12
Ural,1,0,0,34,12
Siberia,0,0,1,34,12
Yakutsk,1,0,0,34,12
Kamchatka,1,0,0,34,12
Irkutsk,1,0,0,34,12
Mongolia,1,0,0,34,12
Japan,1,0,0,34,12
China,1,0,0,34,12
India,1,0,0,34,12
Siam,1,0,0,34,12
Indonesia,0,1,0,34,12
New Guinea,0,0,1,34,12
Western Australia,1,0,0,34,12
Eastern Australia,0,0,1,34,12
Middle East,1,0,0,34,12
