Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,16,6
Northwest Territory,0,0,1,16,6
Greenland,0,0,1,16,6
Alberta,0,0,1,16,6
Ontario,0,0,5,16,6
Quebec,0,0,36,16,6
Western United States,0,0,1,16,6
Eastern United States,0,0,1,16,6
Central America,0,1,0,16,6
Venezuela,0,1,0,16,6
Peru,0,1,0,16,6
Brazil,0,8,0,16,6
Argentina,0,1,0,16,6
North Africa,0,1,0,16,6
Egypt,0,1,0,16,6
East Africa,0,0,1,16,6
Congo,0,1,0,16,6
South Africa,0,0,1,16,6
Madagascar,0,1,0,16,6
Western Europe,1,0,0,16,6
Southern Europe,1,0,0,16,6
Northern Europe,1,0,0,16,6
Great Britain,0,1,0,16,6
Iceland,1,0,0,16,6
Scandinavia,1,0,0,16,6
Ukraine,1,0,0,16,6
Afghanistan,0,1,0,16,6
Ural,0,1,0,16,6
Siberia,0,0,1,16,6
Yakutsk,1,0,0,16,6
Kamchatka,1,0,0,16,6
Irkutsk,1,0,0,16,6
Mongolia,1,0,0,16,6
Japan,1,0,0,16,6
China,1,0,0,16,6
India,0,1,0,16,6
Siam,1,0,0,16,6
Indonesia,0,1,0,16,6
New Guinea,0,0,1,16,6
Western Australia,1,0,0,16,6
Eastern Australia,0,0,1,16,6
Middle East,1,0,0,16,6
