Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,26,9
Northwest Territory,0,0,1,26,9
Greenland,0,0,1,26,9
Alberta,0,0,1,26,9
Ontario,0,0,5,26,9
Quebec,0,0,47,26,9
Western United States,0,0,1,26,9
Eastern United States,0,0,1,26,9
Central America,0,1,0,26,9
Venezuela,0,1,0,26,9
Peru,0,7,0,26,9
Brazil,0,26,0,26,9
Argentina,0,1,0,26,9
North Africa,0,1,0,26,9
Egypt,0,1,0,26,9
East Africa,0,1,0,26,9
Congo,0,1,0,26,9
South Africa,0,3,0,26,9
Madagascar,0,1,0,26,9
Western Europe,1,0,0,26,9
Southern Europe,4,0,0,26,9
Northern Europe,6,0,0,26,9
Great Britain,2,0,0,26,9
Iceland,1,0,0,26,9
Scandinavia,1,0,0,26,9
Ukraine,1,0,0,26,9
Afghanistan,1,0,0,26,9
Ural,1,0,0,26,9
Siberia,0,0,1,26,9
Yakutsk,1,0,0,26,9
Kamchatka,1,0,0,26,9
Irkutsk,1,0,0,26,9
Mongolia,1,0,0,26,9
Japan,1,0,0,26,9
China,1,0,0,26,9
India,1,0,0,26,9
Siam,1,0,0,26,9
Indonesia,0,1,0,26,9
New Guinea,0,0,1,26,9
Western Australia,1,0,0,26,9
Eastern Australia,0,0,1,26,9
Middle East,1,0,0,26,9
