Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,10,4
Northwest Territory,0,0,1,10,4
Greenland,1,0,0,10,4
Alberta,1,0,0,10,4
Ontario,0,0,1,10,4
Quebec,0,0,1,10,4
Western United States,1,0,0,10,4
Eastern United States,0,0,1,10,4
Central America,1,0,0,10,4
Venezuela,7,0,0,10,4
Peru,1,0,0,10,4
Brazil,1,0,0,10,4
Argentina,12,0,0,10,4
North Africa,0,1,0,10,4
Egypt,0,1,0,10,4
East Africa,1,0,0,10,4
Congo,1,0,0,10,4
South Africa,0,1,0,10,4
Madagascar,0,1,0,10,4
Western Europe,0,2,0,10,4
Southern Europe,0,1,0,10,4
Northern Europe,0,1,0,10,4
Great Britain,2,0,0,10,4
Iceland,7,0,0,10,4
Scandinavia,1,0,0,10,4
Ukraine,0,1,0,10,4
Afghanistan,1,0,0,10,4
Ural,0,1,0,10,4
Siberia,0,1,0,10,4
Yakutsk,0,1,0,10,4
Kamchatka,0,0,1,10,4
Irkutsk,0,1,0,10,4
Mongolia,0,0,2,10,4
Japan,0,0,1,10,4
China,0,0,1,10,4
India,0,0,1,10,4
Siam,0,1,0,10,4
Indonesia,0,0,1,10,4
New Guinea,1,0,0,10,4
Western Australia,0,1,0,10,4
Eastern Australia,1,0,0,10,4
Middle East,1,0,0,10,4
