Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,29,10
Northwest Territory,0,0,1,29,10
Greenland,1,0,0,29,10
Alberta,0,0,1,29,10
Ontario,0,0,9,29,10
Quebec,0,0,1,29,10
Western United States,0,0,1,29,10
Eastern United States,0,0,1,29,10
Central America,0,0,1,29,10
Venezuela,1,0,0,29,10
Peru,1,0,0,29,10
Brazil,1,0,0,29,10
Argentina,1,0,0,29,10
North Africa,17,0,0,29,10
Egypt,0,1,0,29,10
East Africa,0,1,0,29,10
Congo,0,1,0,29,10
South Africa,0,1,0,29,10
Madagascar,0,1,0,29,10
Western Europe,0,1,0,29,10
Southern Europe,0,6,0,29,10
Northern Europe,0,1,0,29,10
Great Britain,0,1,0,29,10
Iceland,0,1,0,29,10
Scandinavia,0,1,0,29,10
Ukraine,0,7,0,29,10
Afghanistan,0,1,0,29,10
Ural,0,1,0,29,10
Siberia,0,1,0,29,10
Yakutsk,0,1,0,29,10
Kamchatka,0,1,0,29,10
Irkutsk,0,1,0,29,10
Mongolia,0,1,0,29,10
Japan,0,0,1,29,10
China,0,1,0,29,10
India,0,1,0,29,10
Siam,0,1,0,29,10
Indonesia,0,1,0,29,10
New Guinea,0,1,0,29,10
Western Australia,0,1,0,29,10
Eastern Australia,1,0,0,29,10
Middle East,0,1,0,29,10
