Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,22,8
Northwest Territory,0,0,1,22,8
Greenland,1,0,0,22,8
Alberta,0,0,1,22,8
Ontario,0,0,1,22,8
Quebec,0,0,1,22,8
Western United States,0,0,2,22,8
Eastern United States,0,0,1,22,8
Central America,0,0,1,22,8
Venezuela,1,0,0,22,8
Peru,1,0,0,22,8
Brazil,21,0,0,22,8
Argentina,2,0,0,22,8
North Africa,0,2,0,22,8
Egypt,0,1,0,22,8
East Africa,0,2,0,22,8
Congo,0,1,0,22,8
South Africa,0,1,0,22,8
Madagascar,0,1,0,22,8
Western Europe,0,1,0,22,8
Southern Europe,0,5,0,22,8
Northern Europe,0,1,0,22,8
Great Britain,0,1,0,22,8
Iceland,0,1,0,22,8
Scandinavia,0,1,0,22,8
Ukraine,0,1,0,22,8
Afghanistan,1,0,0,22,8
Ural,0,1,0,22,8
Siberia,0,1,0,22,8
Yakutsk,0,1,0,22,8
Kamchatka,0,0,1,22,8
Irkutsk,0,0,1,22,8
Mongolia,0,0,1,22,8
Japan,0,0,1,22,8
China,0,0,1,22,8
India,0,0,1,22,8
Siam,0,1,0,22,8
Indonesia,0,0,1,22,8
New Guinea,1,0,0,22,8
Western Australia,0,1,0,22,8
Eastern Australia,1,0,0,22,8
Middle East,0,1,0,22,8
