Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,21,7
Northwest Territory,0,0,1,21,7
Greenland,1,0,0,21,7
Alberta,0,0,1,21,7
Ontario,0,0,1,21,7
Quebec,0,0,1,21,7
Western United States,0,0,2,21,7
Eastern United States,0,0,1,21,7
Central America,0,0,1,21,7
Venezuela,0,0,1,21,7
Peru,0,0,1,21,7
Brazil,24,0,0,21,7
Argentina,2,0,0,21,7
North Africa,0,2,0,21,7
Egypt,0,1,0,21,7
East Africa,0,2,0,21,7
Congo,0,1,0,21,7
South Africa,0,1,0,21,7
Madagascar,0,1,0,21,7
Western Europe,0,1,0,21,7
Southern Europe,0,5,0,21,7
Northern Europe,0,1,0,21,7
Great Britain,0,1,0,21,7
Iceland,0,1,0,21,7
Scandinavia,0,1,0,21,7
Ukraine,0,1,0,21,7
Afghanistan,1,0,0,21,7
Ural,0,1,0,21,7
Siberia,0,1,0,21,7
Yakutsk,0,1,0,21,7
Kamchatka,0,0,1,21,7
Irkutsk,0,0,1,21,7
Mongolia,0,0,1,21,7
Japan,0,0,1,21,7
China,0,0,1,21,7
India,0,0,1,21,7
Siam,0,1,0,21,7
Indonesia,0,0,1,21,7
New Guinea,1,0,0,21,7
Western Australia,0,1,0,21,7
Eastern Australia,1,0,0,21,7
Middle East,0,1,0,21,7
