Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,15,5
Northwest Territory,0,0,1,15,5
Greenland,1,0,0,15,5
Alberta,0,0,2,15,5
Ontario,0,0,1,15,5
Quebec,0,0,1,15,5
Western United States,0,0,1,15,5
Eastern United States,0,0,1,15,5
Central America,1,0,0,15,5
Venezuela,10,0,0,15,5
Peru,1,0,0,15,5
Brazil,9,0,0,15,5
Argentina,8,0,0,15,5
North Africa,1,0,0,15,5
Egypt,2,0,0,15,5
East Africa,1,0,0,15,5
Congo,1,0,0,15,5
South Africa,0,1,0,15,5
Madagascar,0,1,0,15,5
Western Europe,0,1,0,15,5
Southern Europe,0,1,0,15,5
Northern Europe,0,1,0,15,5
Great Britain,1,0,0,15,5
Iceland,1,0,0,15,5
Scandinavia,1,0,0,15,5
Ukraine,0,1,0,15,5
Afghanistan,1,0,0,15,5
Ural,0,1,0,15,5
Siberia,0,1,0,15,5
Yakutsk,0,1,0,15,5
Kamchatka,0,0,1,15,5
Irkutsk,0,0,1,15,5
Mongolia,0,0,1,15,5
Japan,0,0,1,15,5
China,0,0,1,15,5
India,0,0,1,15,5
Siam,0,1,0,15,5
Indonesia,0,0,1,15,5
New Guinea,1,0,0,15,5
Western Australia,0,1,0,15,5
Eastern Australia,1,0,0,15,5
Middle East,1,0,0,15,5
