Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,35,12
Northwest Territory,0,0,1,35,12
Greenland,0,1,0,35,12
Alberta,0,0,1,35,12
Ontario,0,0,1,35,12
Quebec,0,0,1,35,12
Western United States,0,0,1,35,12
Eastern United States,0,0,19,35,12
Central America,0,0,1,35,12
Venezuela,1,0,0,35,12
Peru,1,0,0,35,12
Brazil,1,0,0,35,12
Argentina,3,0,0,35,12
North Africa,0,1,0,35,12
Egypt,0,1,0,35,12
East Africa,0,1,0,35,12
Congo,0,2,0,35,12
South Africa,0,1,0,35,12
Madagascar,0,1,0,35,12
Western Europe,0,1,0,35,12
Southern Europe,0,1,0,35,12
Northern Europe,0,1,0,35,12
Great Britain,0,2,0,35,12
Iceland,0,3,0,35,12
Scandinavia,0,1,0,35,12
Ukraine,0,1,0,35,12
Afghanistan,0,1,0,35,12
Ural,0,1,0,35,12
Siberia,0,0,1,35,12
Yakutsk,0,0,1,35,12
Kamchatka,0,0,1,35,12
Irkutsk,0,1,0,35,12
Mongolia,0,0,1,35,12
Japan,0,0,1,35,12
China,0,1,0,35,12
India,0,1,0,35,12
Siam,0,1,0,35,12
Indonesia,1,0,0,35,12
New Guinea,1,0,0,35,12
Western Australia,5,0,0,35,12
Eastern Australia,4,0,0,35,12
Middle East,1,0,0,35,12
