Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,9,3
Northwest Territory,0,0,1,9,3
Greenland,12,0,0,9,3
Alberta,1,0,0,9,3
Ontario,0,0,1,9,3
Quebec,0,0,1,9,3
Western United States,1,0,0,9,3
Eastern United States,0,0,1,9,3
Central America,1,0,0,9,3
Venezuela,3,0,0,9,3
Peru,1,0,0,9,3
Brazil,1,0,0,9,3
Argentina,12,0,0,9,3
North Africa,0,1,0,9,3
Egypt,0,1,0,9,3
East Africa,1,0,0,9,3
Congo,1,0,0,9,3
South Africa,0,1,0,9,3
Madagascar,0,1,0,9,3
Western Europe,0,2,0,9,3
Southern Europe,0,1,0,9,3
Northern Europe,0,1,0,9,3
Great Britain,0,1,0,9,3
Iceland,0,1,0,9,3
Scandinavia,0,1,0,9,3
Ukraine,0,1,0,9,3
Afghanistan,1,0,0,9,3
Ural,0,1,0,9,3
Siberia,0,1,0,9,3
Yakutsk,0,1,0,9,3
Kamchatka,0,0,1,9,3
Irkutsk,0,1,0,9,3
Mongolia,0,0,2,9,3
Japan,0,0,1,9,3
China,0,0,1,9,3
India,0,0,1,9,3
Siam,0,1,0,9,3
Indonesia,0,0,1,9,3
New Guinea,1,0,0,9,3
Western Australia,0,1,0,9,3
Eastern Australia,1,0,0,9,3
Middle East,1,0,0,9,3
