Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,44,15
Northwest Territory,0,0,1,44,15
Greenland,0,1,0,44,15
Alberta,0,0,1,44,15
Ontario,0,0,1,44,15
Quebec,0,0,1,44,15
Western United States,0,0,5,44,15
Eastern United States,0,0,65,44,15
Central America,0,0,1,44,15
Venezuela,0,0,1,44,15
Peru,0,0,1,44,15
Brazil,3,0,0,44,15
Argentina,0,0,2,44,15
North Africa,0,1,0,44,15
Egypt,5,0,0,44,15
East Africa,1,0,0,44,15
Congo,1,0,0,44,15
South Africa,1,0,0,44,15
Madagascar,0,0,1,44,15
Western Europe,0,7,0,44,15
Southern Europe,0,1,0,44,15
Northern Europe,0,15,0,44,15
Great Britain,0,1,0,44,15
Iceland,0,2,0,44,15
Scandinavia,0,1,0,44,15
Ukraine,0,1,0,44,15
Afghanistan,0,1,0,44,15
Ural,0,1,0,44,15
Siberia,0,0,1,44,15
Yakutsk,0,0,1,44,15
Kamchatka,0,0,1,44,15
Irkutsk,0,0,1,44,15
Mongolia,0,1,0,44,15
Japan,0,1,0,44,15
China,0,1,0,44,15
India,0,0,1,44,15
Siam,1,0,0,44,15
Indonesia,1,0,0,44,15
New Guinea,0,1,0,44,15
Western Australia,0,1,0,44,15
Eastern Australia,0,1,0,44,15
Middle East,4,0,0,44,15
