Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,23,8
Northwest Territory,2,0,0,23,8
Greenland,0,1,0,23,8
Alberta,0,0,1,23,8
Ontario,0,0,1,23,8
Quebec,0,0,6,23,8
Western United States,0,0,1,23,8
Eastern United States,0,0,10,23,8
Central America,0,0,1,23,8
Venezuela,0,0,1,23,8
Peru,0,0,1,23,8
Brazil,0,0,2,23,8
Argentina,0,0,2,23,8
North Africa,0,0,1,23,8
Egypt,0,1,0,23,8
East Africa,0,0,1,23,8
Congo,3,0,0,23,8
South Africa,1,0,0,23,8
Madagascar,0,0,1,23,8
Western Europe,0,0,1,23,8
Southern Europe,0,1,0,23,8
Northern Europe,1,0,0,23,8
Great Britain,0,1,0,23,8
Iceland,0,1,0,23,8
Scandinavia,0,1,0,23,8
Ukraine,1,0,0,23,8
Afghanistan,1,0,0,23,8
Ural,0,1,0,23,8
Siberia,0,0,1,23,8
Yakutsk,0,0,1,23,8
Kamchatka,0,1,0,23,8
Irkutsk,0,0,1,23,8
Mongolia,0,0,1,23,8
Japan,0,1,0,23,8
China,0,0,1,23,8
India,0,0,1,23,8
Siam,1,0,0,23,8
Indonesia,1,0,0,23,8
New Guinea,0,1,0,23,8
Western Australia,0,1,0,23,8
Eastern Australia,0,1,0,23,8
Middle East,0,1,0,23,8
