Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,29,10
Northwest Territory,1,0,0,29,10
Greenland,0,1,0,29,10
Alberta,5,0,0,29,10
Ontario,0,0,1,29,10
Quebec,0,0,5,29,10
Western United States,0,0,1,29,10
Eastern United States,0,0,25,29,10
Central America,0,0,1,29,10
Venezuela,0,0,1,29,10
Peru,0,0,1,29,10
Brazil,0,0,10,29,10
Argentina,0,0,2,29,10
North Africa,0,0,1,29,10
Egypt,0,1,0,29,10
East Africa,0,1,0,29,10
Congo,2,0,0,29,10
South Africa,1,0,0,29,10
Madagascar,0,0,1,29,10
Western Europe,0,1,0,29,10
Southern Europe,0,1,0,29,10
Northern Europe,0,4,0,29,10
Great Britain,0,1,0,29,10
Iceland,0,1,0,29,10
Scandinavia,0,1,0,29,10
Ukraine,1,0,0,29,10
Afghanistan,1,0,0,29,10
Ural,0,1,0,29,10
Siberia,0,0,1,29,10
Yakutsk,0,0,1,29,10
Kamchatka,0,1,0,29,10
Irkutsk,0,0,1,29,10
Mongolia,0,0,1,29,10
Japan,0,1,0,29,10
China,0,0,1,29,10
India,0,0,1,29,10
Siam,1,0,0,29,10
Indonesia,1,0,0,29,10
New Guinea,0,1,0,29,10
Western Australia,0,1,0,29,10
Eastern Australia,0,1,0,29,10
Middle East,0,1,0,29,10
