Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,16,6
Northwest Territory,1,0,0,16,6
Greenland,1,0,0,16,6
Alberta,1,0,0,16,6
Ontario,1,0,0,16,6
Quebec,1,0,0,16,6
Western United States,0,0,1,16,6
Eastern United States,0,0,1,16,6
Central America,0,0,7,16,6
Venezuela,0,0,1,16,6
Peru,0,0,1,16,6
Brazil,0,0,2,16,6
Argentina,0,0,2,16,6
North Africa,0,0,1,16,6
Egypt,0,1,0,16,6
East Africa,0,0,1,16,6
Congo,1,0,0,16,6
South Africa,1,0,0,16,6
Madagascar,0,0,1,16,6
Western Europe,0,0,1,16,6
Southern Europe,0,0,1,16,6
Northern Europe,1,0,0,16,6
Great Britain,1,0,0,16,6
Iceland,1,0,0,16,6
Scandinavia,0,1,0,16,6
Ukraine,1,0,0,16,6
Afghanistan,1,0,0,16,6
Ural,0,1,0,16,6
Siberia,0,0,1,16,6
Yakutsk,0,0,1,16,6
Kamchatka,0,1,0,16,6
Irkutsk,0,0,1,16,6
Mongolia,0,0,1,16,6
Japan,0,1,0,16,6
China,0,0,1,16,6
India,0,0,1,16,6
Siam,1,0,0,16,6
Indonesia,1,0,0,16,6
New Guinea,1,0,0,16,6
Western Australia,0,1,0,16,6
Eastern Australia,0,1,0,16,6
Middle East,0,1,0,16,6
