Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,1,0,14,5
Northwest Territory,0,2,0,14,5
Greenland,6,0,0,14,5
Alberta,0,1,0,14,5
Ontario,0,1,0,14,5
Quebec,0,0,1,14,5
Western United States,0,0,2,14,5
Eastern United States,0,0,1,14,5
Central America,0,0,1,14,5
Venezuela,0,0,4,14,5
Peru,0,0,1,14,5
Brazil,0,0,2,14,5
Argentina,0,0,2,14,5
North Africa,0,0,1,14,5
Egypt,0,1,0,14,5
East Africa,0,0,1,14,5
Congo,1,0,0,14,5
South Africa,1,0,0,14,5
Madagascar,0,0,1,14,5
Western Europe,0,0,1,14,5
Southern Europe,0,0,1,14,5
Northern Europe,1,0,0,14,5
Great Britain,1,0,0,14,5
Iceland,2,0,0,14,5
Scandinavia,0,1,0,14,5
Ukraine,1,0,0,14,5
Afghanistan,1,0,0,14,5
Ural,0,1,0,14,5
Siberia,0,0,1,14,5
Yakutsk,0,0,1,14,5
Kamchatka,0,1,0,14,5
Irkutsk,0,0,1,14,5
Mongolia,0,0,1,14,5
Japan,0,1,0,14,5
China,0,0,1,14,5
India,0,0,1,14,5
Siam,1,0,0,14,5
Indonesia,1,0,0,14,5
New Guinea,1,0,0,14,5
Western Australia,0,1,0,14,5
Eastern Australia,0,1,0,14,5
Middle East,0,1,0,14,5
