Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,15,5
Northwest Territory,1,0,0,15,5
Greenland,1,0,0,15,5
Alberta,1,0,0,15,5
Ontario,1,0,0,15,5
Quebec,1,0,0,15,5
Western United States,8,0,0,15,5
Eastern United States,1,0,0,15,5
Central America,6,0,0,15,5
Venezuela,0,1,0,15,5
Peru,0,1,0,15,5
Brazil,1,0,0,15,5
Argentina,6,0,0,15,5
North Africa,0,0,1,15,5
Egypt,0,0,1,15,5
East Africa,0,0,1,15,5
Congo,0,1,0,15,5
South Africa,0,1,0,15,5
Madagascar,0,0,1,15,5
Western Europe,0,0,1,15,5
Southern Europe,0,0,1,15,5
Northern Europe,0,0,2,15,5
Great Britain,0,0,3,15,5
Iceland,0,0,1,15,5
Scandinavia,0,0,3,15,5
Ukraine,0,0,1,15,5
Afghanistan,0,0,1,15,5
Ural,0,0,3,15,5
Siberia,0,0,1,15,5
Yakutsk,0,0,1,15,5
Kamchatka,0,0,1,15,5
Irkutsk,0,0,3,15,5
Mongolia,0,0,3,15,5
Japan,0,0,2,15,5
China,0,0,1,15,5
India,0,0,1,15,5
Siam,0,0,2,15,5
Indonesia,0,0,1,15,5
New Guinea,0,0,1,15,5
Western Australia,0,0,1,15,5
Eastern Australia,0,0,1,15,5
Middle East,0,0,1,15,5
