Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,6,0,0,33,11
Northwest Territory,1,0,0,33,11
Greenland,1,0,0,33,11
Alberta,4,0,0,33,11
Ontario,4,0,0,33,11
Quebec,1,0,0,33,11
Western United States,9,0,0,33,11
Eastern United States,42,0,0,33,11
Central America,1,0,0,33,11
Venezuela,1,0,0,33,11
Peru,0,0,1,33,11
Brazil,0,0,1,33,11
Argentina,0,0,1,33,11
North Africa,0,0,1,33,11
Egypt,0,0,1,33,11
East Africa,0,0,1,33,11
Congo,0,0,1,33,11
South Africa,1,0,0,33,11
Madagascar,0,0,1,33,11
Western Europe,0,0,1,33,11
Southern Europe,0,0,1,33,11
Northern Europe,0,1,0,33,11
Great Britain,1,0,0,33,11
Iceland,1,0,0,33,11
Scandinavia,0,0,1,33,11
Ukraine,0,1,0,33,11
Afghanistan,0,1,0,33,11
Ural,0,0,1,33,11
Siberia,0,0,1,33,11
Yakutsk,1,0,0,33,11
Kamchatka,1,0,0,33,11
Irkutsk,1,0,0,33,11
Mongolia,1,0,0,33,11
Japan,1,0,0,33,11
China,0,1,0,33,11
India,0,1,0,33,11
Siam,0,1,0,33,11
Indonesia,0,3,0,33,11
New Guinea,0,4,0,33,11
Western Australia,0,5,0,33,11
Eastern Australia,0,2,0,33,11
Middle East,0,0,1,33,11
