Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,11,0,0,49,17
Northwest Territory,1,0,0,49,17
Greenland,1,0,0,49,17
Alberta,4,0,0,49,17
Ontario,4,0,0,49,17
Quebec,1,0,0,49,17
Western United States,47,0,0,49,17
Eastern United States,1,0,0,49,17
Central America,69,0,0,49,17
Venezuela,1,0,0,49,17
Peru,0,0,1,49,17
Brazil,0,0,1,49,17
Argentina,0,0,1,49,17
North Africa,0,0,1,49,17
Egypt,0,0,1,49,17
East Africa,0,0,1,49,17
Congo,0,0,1,49,17
South Africa,1,0,0,49,17
Madagascar,0,0,1,49,17
Western Europe,0,0,2,49,17
Southern Europe,0,0,27,49,17
Northern Europe,0,0,2,49,17
Great Britain,0,0,1,49,17
Iceland,1,0,0,49,17
Scandinavia,0,0,1,49,17
Ukraine,0,0,2,49,17
Afghanistan,0,0,1,49,17
Ural,0,0,1,49,17
Siberia,0,0,1,49,17
Yakutsk,1,0,0,49,17
Kamchatka,1,0,0,49,17
Irkutsk,1,0,0,49,17
Mongolia,1,0,0,49,17
Japan,1,0,0,49,17
China,0,1,0,49,17
India,0,1,0,49,17
Siam,0,1,0,49,17
Indonesia,0,2,0,49,17
New Guinea,0,11,0,49,17
Western Australia,0,20,0,49,17
Eastern Australia,0,2,0,49,17
Middle East,0,0,1,49,17
