Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,11,0,0,48,16
Northwest Territory,1,0,0,48,16
Greenland,1,0,0,48,16
Alberta,4,0,0,48,16
Ontario,4,0,0,48,16
Quebec,1,0,0,48,16
Western United States,1,0,0,48,16
Eastern United States,42,0,0,48,16
Central America,64,0,0,48,16
Venezuela,1,0,0,48,16
Peru,0,0,1,48,16
Brazil,0,0,1,48,16
Argentina,0,0,1,48,16
North Africa,0,0,1,48,16
Egypt,0,0,1,48,16
East Africa,0,0,1,48,16
Congo,0,0,1,48,16
South Africa,1,0,0,48,16
Madagascar,0,0,1,48,16
Western Europe,0,0,2,48,16
Southern Europe,0,0,27,48,16
Northern Europe,0,0,2,48,16
Great Britain,0,0,1,48,16
Iceland,1,0,0,48,16
Scandinavia,0,0,1,48,16
Ukraine,0,0,2,48,16
Afghanistan,0,0,1,48,16
Ural,0,0,1,48,16
Siberia,0,0,1,48,16
Yakutsk,1,0,0,48,16
Kamchatka,1,0,0,48,16
Irkutsk,1,0,0,48,16
Mongolia,1,0,0,48,16
Japan,1,0,0,48,16
China,0,1,0,48,16
India,0,1,0,48,16
Siam,0,1,0,48,16
Indonesia,0,2,0,48,16
New Guinea,0,11,0,48,16
Western Australia,0,20,0,48,16
Eastern Australia,0,2,0,48,16
Middle East,0,0,1,48,16
