Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,11,0,0,44,15
Northwest Territory,1,0,0,44,15
Greenland,1,0,0,44,15
Alberta,4,0,0,44,15
Ontario,4,0,0,44,15
Quebec,1,0,0,44,15
Western United States,37,0,0,44,15
Eastern United States,1,0,0,44,15
Central America,59,0,0,44,15
Venezuela,1,0,0,44,15
Peru,0,0,1,44,15
Brazil,0,0,1,44,15
Argentina,0,0,1,44,15
North Africa,0,0,1,44,15
Egypt,0,0,1,44,15
East Africa,0,0,1,44,15
Congo,0,0,1,44,15
South Africa,1,0,0,44,15
Madagascar,0,0,1,44,15
Western Europe,0,0,16,44,15
Southern Europe,0,0,1,44,15
Northern Europe,0,0,2,44,15
Great Britain,0,0,1,44,15
Iceland,1,0,0,44,15
Scandinavia,0,0,1,44,15
Ukraine,0,0,2,44,15
Afghanistan,0,0,1,44,15
Ural,0,0,1,44,15
Siberia,0,0,1,44,15
Yakutsk,1,0,0,44,15
Kamchatka,1,0,0,44,15
Irkutsk,1,0,0,44,15
Mongolia,1,0,0,44,15
Japan,1,0,0,44,15
China,0,1,0,44,15
India,0,1,0,44,15
Siam,0,1,0,44,15
Indonesia,0,1,0,44,15
New Guinea,0,4,0,44,15
Western Australia,0,24,0,44,15
Eastern Australia,0,2,0,44,15
Middle East,0,0,1,44,15
