Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,3,0,0,22,8
Northwest Territory,37,0,0,22,8
Greenland,1,0,0,22,8
Alberta,1,0,0,22,8
Ontario,1,0,0,22,8
Quebec,1,0,0,22,8
Western United States,1,0,0,22,8
Eastern United States,17,0,0,22,8
Central America,1,0,0,22,8
Venezuela,0,0,1,22,8
Peru,0,1,0,22,8
Brazil,0,0,1,22,8
Argentina,1,0,0,22,8
North Africa,0,1,0,22,8
Egypt,0,1,0,22,8
East Africa,0,0,1,22,8
Congo,1,0,0,22,8
South Africa,1,0,0,22,8
Madagascar,0,0,1,22,8
Western Europe,1,0,0,22,8
Southern Europe,1,0,0,22,8
Northern Europe,1,0,0,22,8
Great Britain,1,0,0,22,8
Iceland,1,0,0,22,8
Scandinavia,1,0,0,22,8
Ukraine,0,0,15,22,8
Afghanistan,0,0,1,22,8
Ural,0,0,1,22,8
Siberia,0,0,1,22,8
Yakutsk,1,0,0,22,8
Kamchatka,1,0,0,22,8
Irkutsk,1,0,0,22,8
Mongolia,1,0,0,22,8
Japan,1,0,0,22,8
China,0,0,1,22,8
India,0,1,0,22,8
Siam,0,1,0,22,8
Indonesia,1,0,0,22,8
New Guinea,0,1,0,22,8
Western Australia,1,0,0,22,8
Eastern Australia,0,1,0,22,8
Middle East,0,0,1,22,8
