Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,1,0,0,6,2
Northwest Territory,1,0,0,6,2
Greenland,1,0,0,6,2
Alberta,1,0,0,6,2
Ontario,1,0,0,6,2
Quebec,2,0,0,6,2
Western United States,1,0,0,6,2
Eastern United States,2,0,0,6,2
Central America,1,0,0,6,2
Venezuela,0,0,1,6,2
Peru,0,1,0,6,2
Brazil,0,0,1,6,2
Argentina,1,0,0,6,2
North Africa,1,0,0,6,2
Egypt,0,1,0,6,2
East Africa,0,0,1,6,2
Congo,1,0,0,6,2
South Africa,1,0,0,6,2
Madagascar,0,0,1,6,2
Western Europe,0,0,1,6,2
Southern Europe,0,0,1,6,2
Northern Europe,0,0,1,6,2
Great Britain,0,0,1,6,2
Iceland,1,0,0,6,2
Scandinavia,0,0,1,6,2
Ukraine,0,0,3,6,2
Afghanistan,0,0,1,6,2
Ural,0,0,1,6,2
Siberia,0,0,1,6,2
Yakutsk,1,0,0,6,2
Kamchatka,1,0,0,6,2
Irkutsk,1,0,0,6,2
Mongolia,1,0,0,6,2
Japan,1,0,0,6,2
China,0,0,1,6,2
India,0,1,0,6,2
Siam,0,1,0,6,2
Indonesia,1,0,0,6,2
New Guinea,0,1,0,6,2
Western Australia,1,0,0,6,2
Eastern Australia,0,1,0,6,2
Middle East,0,1,0,6,2
