Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,6,0,0,27,9
Northwest Territory,22,0,0,27,9
Greenland,21,0,0,27,9
Alberta,1,0,0,27,9
Ontario,1,0,0,27,9
Quebec,1,0,0,27,9
Western United States,1,0,0,27,9
Eastern United States,20,0,0,27,9
Central America,1,0,0,27,9
Venezuela,0,0,1,27,9
Peru,0,0,1,27,9
Brazil,0,0,1,27,9
Argentina,0,0,1,27,9
North Africa,0,0,1,27,9
Egypt,0,0,1,27,9
East Africa,0,0,1,27,9
Congo,0,0,1,27,9
South Africa,1,0,0,27,9
Madagascar,0,0,1,27,9
Western Europe,0,0,11,27,9
Southern Europe,0,0,1,27,9
Northern Europe,0,0,1,27,9
Great Britain,0,0,1,27,9
Iceland,0,0,1,27,9
Scandinavia,0,0,1,27,9
Ukraine,0,0,1,27,9
Afghanistan,0,0,1,27,9
Ural,0,0,1,27,9
Siberia,0,0,1,27,9
Yakutsk,1,0,0,27,9
Kamchatka,1,0,0,27,9
Irkutsk,1,0,0,27,9
Mongolia,1,0,0,27,9
Japan,1,0,0,27,9
China,0,0,1,27,9
India,0,1,0,27,9
Siam,0,1,0,27,9
Indonesia,0,1,0,27,9
New Guinea,0,3,0,27,9
Western Australia,0,1,0,27,9
Eastern Australia,0,1,0,27,9
Middle East,0,0,1,27,9
