Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,11,0,0,41,14
Northwest Territory,1,0,0,41,14
Greenland,1,0,0,41,14
Alberta,4,0,0,41,14
Ontario,4,0,0,41,14
Quebec,1,0,0,41,14
Western United States,1,0,0,41,14
Eastern United States,32,0,0,41,14
Central America,54,0,0,41,14
Venezuela,1,0,0,41,14
Peru,0,0,1,41,14
Brazil,0,0,1,41,14
Argentina,0,0,1,41,14
North Africa,0,0,1,41,14
Egypt,0,0,1,41,14
East Africa,0,0,1,41,14
Congo,0,0,1,41,14
South Africa,1,0,0,41,14
Madagascar,0,0,1,41,14
Western Europe,0,0,1,41,14
Southern Europe,0,0,1,41,14
Northern Europe,0,0,11,41,14
Great Britain,0,0,1,41,14
Iceland,1,0,0,41,14
Scandinavia,0,0,1,41,14
Ukraine,0,0,2,41,14
Afghanistan,0,0,1,41,14
Ural,0,0,1,41,14
Siberia,0,0,1,41,14
Yakutsk,1,0,0,41,14
Kamchatka,1,0,0,41,14
Irkutsk,1,0,0,41,14
Mongolia,1,0,0,41,14
Japan,1,0,0,41,14
China,0,1,0,41,14
India,0,1,0,41,14
Siam,0,1,0,41,14
Indonesia,0,3,0,41,14
New Guinea,0,1,0,41,14
Western Australia,0,21,0,41,14
Eastern Australia,0,2,0,41,14
Middle East,0,0,1,41,14
