Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,6,0,0,28,10
Northwest Territory,1,0,0,28,10
Greenland,9,0,0,28,10
Alberta,4,0,0,28,10
Ontario,4,0,0,28,10
Quebec,1,0,0,28,10
Western United States,3,0,0,28,10
Eastern United States,41,0,0,28,10
Central America,1,0,0,28,10
Venezuela,1,0,0,28,10
Peru,0,0,1,28,10
Brazil,0,0,1,28,10
Argentina,0,0,1,28,10
North Africa,0,0,1,28,10
Egypt,0,0,1,28,10
East Africa,0,0,1,28,10
Congo,0,0,1,28,10
South Africa,1,0,0,28,10
Madagascar,0,0,1,28,10
Western Europe,0,0,3,28,10
Southern Europe,0,0,1,28,10
Northern Europe,0,0,1,28,10
Great Britain,1,0,0,28,10
Iceland,1,0,0,28,10
Scandinavia,0,0,1,28,10
Ukraine,0,0,1,28,10
Afghanistan,0,0,1,28,10
Ural,0,0,1,28,10
Siberia,0,0,1,28,10
Yakutsk,1,0,0,28,10
Kamchatka,1,0,0,28,10
Irkutsk,1,0,0,28,10
Mongolia,1,0,0,28,10
Japan,1,0,0,28,10
China,0,0,1,28,10
India,0,1,0,28,10
Siam,0,1,0,28,10
Indonesia,0,1,0,28,10
New Guinea,0,3,0,28,10
Western Australia,0,1,0,28,10
Eastern Australia,0,1,0,28,10
Middle East,0,0,1,28,10
