Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,11,0,0,46,16
Northwest Territory,1,0,0,46,16
Greenland,1,0,0,46,16
Alberta,4,0,0,46,16
Ontario,4,0,0,46,16
Quebec,1,0,0,46,16
Western United States,1,0,0,46,16
Eastern United States,42,0,0,46,16
Central America,64,0,0,46,16
Venezuela,1,0,0,46,16
Peru,0,0,1,46,16
Brazil,0,0,1,46,16
Argentina,0,0,1,46,16
North Africa,0,0,1,46,16
Egypt,0,0,1,46,16
East Africa,0,0,1,46,16
Congo,0,0,1,46,16
South Africa,1,0,0,46,16
Madagascar,0,0,1,46,16
Western Europe,0,0,2,46,16
Southern Europe,0,0,21,46,16
Northern Europe,0,0,2,46,16
Great Britain,0,0,1,46,16
Iceland,1,0,0,46,16
Scandinavia,0,0,1,46,16
Ukraine,0,0,2,46,16
Afghanistan,0,0,1,46,16
Ural,0,0,1,46,16
Siberia,0,0,1,46,16
Yakutsk,1,0,0,46,16
Kamchatka,1,0,0,46,16
Irkutsk,1,0,0,46,16
Mongolia,1,0,0,46,16
Japan,1,0,0,46,16
China,0,1,0,46,16
India,0,1,0,46,16
Siam,0,1,0,46,16
Indonesia,0,1,0,46,16
New Guinea,0,4,0,46,16
Western Australia,0,24,0,46,16
Eastern Australia,0,2,0,46,16
Middle East,0,0,1,46,16
