Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,3,0,0,7,3
Northwest Territory,1,0,0,7,3
Greenland,1,0,0,7,3
Alberta,1,0,0,7,3
Ontario,1,0,0,7,3
Quebec,4,0,0,7,3
Western United States,3,0,0,7,3
Eastern United States,8,0,0,7,3
Central America,1,0,0,7,3
Venezuela,0,0,1,7,3
Peru,0,1,0,7,3
Brazil,0,0,1,7,3
Argentina,1,0,0,7,3
North Africa,1,0,0,7,3
Egypt,0,1,0,7,3
East Africa,0,0,1,7,3
Congo,1,0,0,7,3
South Africa,1,0,0,7,3
Madagascar,0,0,1,7,3
Western Europe,0,0,1,7,3
Southern Europe,0,0,1,7,3
Northern Europe,0,0,1,7,3
Great Britain,0,0,1,7,3
Iceland,1,0,0,7,3
Scandinavia,0,0,1,7,3
Ukraine,0,0,3,7,3
Afghanistan,0,0,1,7,3
Ural,0,0,1,7,3
Siberia,0,0,1,7,3
Yakutsk,1,0,0,7,3
Kamchatka,1,0,0,7,3
Irkutsk,1,0,0,7,3
Mongolia,1,0,0,7,3
Japan,1,0,0,7,3
China,0,0,1,7,3
India,0,1,0,7,3
Siam,0,1,0,7,3
Indonesia,1,0,0,7,3
New Guinea,0,1,0,7,3
Western Australia,1,0,0,7,3
Eastern Australia,0,1,0,7,3
Middle East,0,1,0,7,3
