Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,3,0,0,13,5
Northwest Territory,18,0,0,13,5
Greenland,1,0,0,13,5
Alberta,1,0,0,13,5
Ontario,1,0,0,13,5
Quebec,10,0,0,13,5
Western United States,1,0,0,13,5
Eastern United States,11,0,0,13,5
Central America,1,0,0,13,5
Venezuela,0,0,1,13,5
Peru,0,1,0,13,5
Brazil,0,0,1,13,5
Argentina,1,0,0,13,5
North Africa,1,0,0,13,5
Egypt,0,1,0,13,5
East Africa,0,0,1,13,5
Congo,1,0,0,13,5
South Africa,1,0,0,13,5
Madagascar,0,0,1,13,5
Western Europe,0,0,1,13,5
Southern Europe,0,0,1,13,5
Northern Europe,0,0,5,13,5
Great Britain,0,0,1,13,5
Iceland,1,0,0,13,5
Scandinavia,0,0,1,13,5
Ukraine,0,0,1,13,5
Afghanistan,0,0,1,13,5
Ural,0,0,1,13,5
Siberia,0,0,1,13,5
Yakutsk,1,0,0,13,5
Kamchatka,1,0,0,13,5
Irkutsk,1,0,0,13,5
Mongolia,1,0,0,13,5
Japan,1,0,0,13,5
China,0,0,1,13,5
India,0,0,1,13,5
Siam,0,1,0,13,5
Indonesia,1,0,0,13,5
New Guinea,0,1,0,13,5
Western Australia,1,0,0,13,5
Eastern Australia,0,1,0,13,5
Middle East,0,0,1,13,5
