Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,3,0,0,23,8
Northwest Territory,37,0,0,23,8
Greenland,1,0,0,23,8
Alberta,1,0,0,23,8
Ontario,1,0,0,23,8
Quebec,1,0,0,23,8
Western United States,1,0,0,23,8
Eastern United States,17,0,0,23,8
Central America,1,0,0,23,8
Venezuela,0,0,1,23,8
Peru,0,1,0,23,8
Brazil,0,0,1,23,8
Argentina,1,0,0,23,8
North Africa,0,1,0,23,8
Egypt,0,1,0,23,8
East Africa,0,0,1,23,8
Congo,1,0,0,23,8
South Africa,1,0,0,23,8
Madagascar,0,0,1,23,8
Western Europe,1,0,0,23,8
Southern Europe,1,0,0,23,8
Northern Europe,1,0,0,23,8
Great Britain,1,0,0,23,8
Iceland,1,0,0,23,8
Scandinavia,1,0,0,23,8
Ukraine,0,0,15,23,8
Afghanistan,0,0,1,23,8
Ural,0,0,1,23,8
Siberia,0,0,1,23,8
Yakutsk,1,0,0,23,8
Kamchatka,1,0,0,23,8
Irkutsk,1,0,0,23,8
Mongolia,1,0,0,23,8
Japan,1,0,0,23,8
China,0,0,1,23,8
India,0,1,0,23,8
Siam,0,1,0,23,8
Indonesia,0,1,0,23,8
New Guinea,0,1,0,23,8
Western Australia,1,0,0,23,8
Eastern Australia,0,1,0,23,8
Middle East,0,0,1,23,8
