Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,23,8
Northwest Territory,1,0,0,23,8
Greenland,1,0,0,23,8
Alberta,1,0,0,23,8
Ontario,1,0,0,23,8
Quebec,1,0,0,23,8
Western United States,1,0,0,23,8
Eastern United States,25,0,0,23,8
Central America,24,0,0,23,8
Venezuela,1,0,0,23,8
Peru,1,0,0,23,8
Brazil,1,0,0,23,8
Argentina,6,0,0,23,8
North Africa,0,0,1,23,8
Egypt,0,0,1,23,8
East Africa,0,0,1,23,8
Congo,0,0,1,23,8
South Africa,0,0,1,23,8
Madagascar,1,0,0,23,8
Western Europe,0,0,1,23,8
Southern Europe,0,1,0,23,8
Northern Europe,0,1,0,23,8
Great Britain,0,1,0,23,8
Iceland,1,0,0,23,8
Scandinavia,0,1,0,23,8
Ukraine,0,47,0,23,8
Afghanistan,0,2,0,23,8
Ural,0,1,0,23,8
Siberia,1,0,0,23,8
Yakutsk,0,1,0,23,8
Kamchatka,0,0,2,23,8
Irkutsk,0,1,0,23,8
Mongolia,0,0,1,23,8
Japan,0,0,1,23,8
China,0,1,0,23,8
India,0,1,0,23,8
Siam,0,1,0,23,8
Indonesia,0,1,0,23,8
New Guinea,0,1,0,23,8
Western Australia,1,0,0,23,8
Eastern Australia,0,1,0,23,8
Middle East,0,1,0,23,8
