Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,16,6
Northwest Territory,9,0,0,16,6
Greenland,1,0,0,16,6
Alberta,1,0,0,16,6
Ontario,1,0,0,16,6
Quebec,1,0,0,16,6
Western United States,1,0,0,16,6
Eastern United States,27,0,0,16,6
Central America,1,0,0,16,6
Venezuela,0,0,1,16,6
Peru,0,0,1,16,6
Brazil,0,0,1,16,6
Argentina,0,0,1,16,6
North Africa,0,0,2,16,6
Egypt,0,0,1,16,6
East Africa,0,0,1,16,6
Congo,1,0,0,16,6
South Africa,0,1,0,16,6
Madagascar,1,0,0,16,6
Western Europe,0,1,0,16,6
Southern Europe,0,1,0,16,6
Northern Europe,0,1,0,16,6
Great Britain,0,1,0,16,6
Iceland,1,0,0,16,6
Scandinavia,0,1,0,16,6
Ukraine,0,4,0,16,6
Afghanistan,0,31,0,16,6
Ural,0,1,0,16,6
Siberia,1,0,0,16,6
Yakutsk,0,1,0,16,6
Kamchatka,0,0,1,16,6
Irkutsk,0,1,0,16,6
Mongolia,0,1,0,16,6
Japan,0,0,1,16,6
China,0,1,0,16,6
India,1,0,0,16,6
Siam,0,0,1,16,6
Indonesia,0,0,1,16,6
New Guinea,0,0,1,16,6
Western Australia,1,0,0,16,6
Eastern Australia,0,1,0,16,6
Middle East,0,1,0,16,6
