Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,11,4
Northwest Territory,1,0,0,11,4
Greenland,1,0,0,11,4
Alberta,1,0,0,11,4
Ontario,1,0,0,11,4
Quebec,1,0,0,11,4
Western United States,4,0,0,11,4
Eastern United States,17,0,0,11,4
Central America,1,0,0,11,4
Venezuela,0,0,1,11,4
Peru,0,0,1,11,4
Brazil,0,0,1,11,4
Argentina,0,0,1,11,4
North Africa,0,1,0,11,4
Egypt,1,0,0,11,4
East Africa,0,1,0,11,4
Congo,1,0,0,11,4
South Africa,0,1,0,11,4
Madagascar,1,0,0,11,4
Western Europe,0,1,0,11,4
Southern Europe,0,1,0,11,4
Northern Europe,0,1,0,11,4
Great Britain,0,1,0,11,4
Iceland,0,1,0,11,4
Scandinavia,0,1,0,11,4
Ukraine,0,23,0,11,4
Afghanistan,0,1,0,11,4
Ural,0,1,0,11,4
Siberia,1,0,0,11,4
Yakutsk,0,1,0,11,4
Kamchatka,0,0,1,11,4
Irkutsk,0,1,0,11,4
Mongolia,0,1,0,11,4
Japan,0,0,1,11,4
China,0,1,0,11,4
India,1,0,0,11,4
Siam,0,0,1,11,4
Indonesia,0,0,1,11,4
New Guinea,0,0,1,11,4
Western Australia,1,0,0,11,4
Eastern Australia,0,1,0,11,4
Middle East,0,1,0,11,4
