Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,37,13
Northwest Territory,1,0,0,37,13
Greenland,51,0,0,37,13
Alberta,1,0,0,37,13
Ontario,1,0,0,37,13
Quebec,1,0,0,37,13
Western United States,1,0,0,37,13
Eastern United States,1,0,0,37,13
Central America,34,0,0,37,13
Venezuela,6,0,0,37,13
Peru,1,0,0,37,13
Brazil,1,0,0,37,13
Argentina,6,0,0,37,13
North Africa,0,2,0,37,13
Egypt,0,1,0,37,13
East Africa,0,1,0,37,13
Congo,0,1,0,37,13
South Africa,0,1,0,37,13
Madagascar,1,0,0,37,13
Western Europe,0,4,0,37,13
Southern Europe,0,35,0,37,13
Northern Europe,0,1,0,37,13
Great Britain,0,1,0,37,13
Iceland,1,0,0,37,13
Scandinavia,0,1,0,37,13
Ukraine,0,2,0,37,13
Afghanistan,0,2,0,37,13
Ural,0,1,0,37,13
Siberia,0,0,1,37,13
Yakutsk,0,0,1,37,13
Kamchatka,0,0,1,37,13
Irkutsk,0,1,0,37,13
Mongolia,0,0,1,37,13
Japan,0,0,1,37,13
China,0,1,0,37,13
India,0,1,0,37,13
Siam,0,1,0,37,13
Indonesia,0,1,0,37,13
New Guinea,0,1,0,37,13
Western Australia,1,0,0,37,13
Eastern Australia,0,1,0,37,13
Middle East,0,1,0,37,13
