Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,31,11
Northwest Territory,28,0,0,31,11
Greenland,1,0,0,31,11
Alberta,1,0,0,31,11
Ontario,1,0,0,31,11
Quebec,1,0,0,31,11
Western United States,1,0,0,31,11
Eastern United States,42,0,0,31,11
Central America,1,0,0,31,11
Venezuela,6,0,0,31,11
Peru,1,0,0,31,11
Brazil,1,0,0,31,11
Argentina,6,0,0,31,11
North Africa,1,0,0,31,11
Egypt,0,0,1,31,11
East Africa,0,0,1,31,11
Congo,0,0,1,31,11
South Africa,0,0,1,31,11
Madagascar,1,0,0,31,11
Western Europe,0,0,1,31,11
Southern Europe,0,0,1,31,11
Northern Europe,0,0,1,31,11
Great Britain,0,0,1,31,11
Iceland,1,0,0,31,11
Scandinavia,0,0,1,31,11
Ukraine,0,54,0,31,11
Afghanistan,0,2,0,31,11
Ural,0,1,0,31,11
Siberia,0,0,1,31,11
Yakutsk,0,0,1,31,11
Kamchatka,0,0,1,31,11
Irkutsk,0,1,0,31,11
Mongolia,0,0,1,31,11
Japan,0,0,1,31,11
China,0,1,0,31,11
India,0,1,0,31,11
Siam,0,1,0,31,11
Indonesia,0,1,0,31,11
New Guinea,0,1,0,31,11
Western Australia,1,0,0,31,11
Eastern Australia,0,1,0,31,11
Middle East,0,1,0,31,11
