Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,13,5
Northwest Territory,1,0,0,13,5
Greenland,1,0,0,13,5
Alberta,7,0,0,13,5
Ontario,1,0,0,13,5
Quebec,1,0,0,13,5
Western United States,1,0,0,13,5
Eastern United States,22,0,0,13,5
Central America,1,0,0,13,5
Venezuela,0,0,1,13,5
Peru,0,0,1,13,5
Brazil,0,0,2,13,5
Argentina,0,0,1,13,5
North Africa,0,1,0,13,5
Egypt,1,0,0,13,5
East Africa,0,1,0,13,5
Congo,1,0,0,13,5
South Africa,0,1,0,13,5
Madagascar,1,0,0,13,5
Western Europe,0,1,0,13,5
Southern Europe,0,1,0,13,5
Northern Europe,0,1,0,13,5
Great Britain,0,1,0,13,5
Iceland,0,1,0,13,5
Scandinavia,0,1,0,13,5
Ukraine,0,23,0,13,5
Afghanistan,0,1,0,13,5
Ural,0,1,0,13,5
Siberia,1,0,0,13,5
Yakutsk,0,1,0,13,5
Kamchatka,0,0,1,13,5
Irkutsk,0,1,0,13,5
Mongolia,0,1,0,13,5
Japan,0,0,1,13,5
China,0,1,0,13,5
India,1,0,0,13,5
Siam,0,0,1,13,5
Indonesia,0,0,1,13,5
New Guinea,0,0,1,13,5
Western Australia,1,0,0,13,5
Eastern Australia,0,1,0,13,5
Middle East,0,1,0,13,5
