Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,28,10
Northwest Territory,1,0,0,28,10
Greenland,1,0,0,28,10
Alberta,1,0,0,28,10
Ontario,1,0,0,28,10
Quebec,1,0,0,28,10
Western United States,1,0,0,28,10
Eastern United States,37,0,0,28,10
Central America,36,0,0,28,10
Venezuela,1,0,0,28,10
Peru,1,0,0,28,10
Brazil,1,0,0,28,10
Argentina,6,0,0,28,10
North Africa,0,0,1,28,10
Egypt,0,0,1,28,10
East Africa,0,0,1,28,10
Congo,0,0,1,28,10
South Africa,0,0,1,28,10
Madagascar,1,0,0,28,10
Western Europe,0,0,1,28,10
Southern Europe,0,0,1,28,10
Northern Europe,0,1,0,28,10
Great Britain,0,1,0,28,10
Iceland,1,0,0,28,10
Scandinavia,0,1,0,28,10
Ukraine,0,2,0,28,10
Afghanistan,0,52,0,28,10
Ural,0,1,0,28,10
Siberia,1,0,0,28,10
Yakutsk,0,0,1,28,10
Kamchatka,0,0,1,28,10
Irkutsk,0,1,0,28,10
Mongolia,0,0,1,28,10
Japan,0,0,1,28,10
China,0,1,0,28,10
India,0,1,0,28,10
Siam,0,1,0,28,10
Indonesia,0,1,0,28,10
New Guinea,0,1,0,28,10
Western Australia,1,0,0,28,10
Eastern Australia,0,1,0,28,10
Middle East,0,1,0,28,10
