Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,1,0,0,30,10
Northwest Territory,1,0,0,30,10
Greenland,1,0,0,30,10
Alberta,1,0,0,30,10
Ontario,1,0,0,30,10
Quebec,1,0,0,30,10
Western United States,1,0,0,30,10
Eastern United States,37,0,0,30,10
Central America,36,0,0,30,10
Venezuela,0,0,1,30,10
Peru,1,0,0,30,10
Brazil,0,0,1,30,10
Argentina,6,0,0,30,10
North Africa,0,0,1,30,10
Egypt,0,0,1,30,10
East Africa,0,0,1,30,10
Congo,0,0,1,30,10
South Africa,0,0,1,30,10
Madagascar,1,0,0,30,10
Western Europe,0,0,1,30,10
Southern Europe,0,0,1,30,10
Northern Europe,0,0,1,30,10
Great Britain,0,0,1,30,10
Iceland,1,0,0,30,10
Scandinavia,0,0,1,30,10
Ukraine,0,54,0,30,10
Afghanistan,0,2,0,30,10
Ural,0,1,0,30,10
Siberia,0,0,1,30,10
Yakutsk,0,0,1,30,10
Kamchatka,0,0,1,30,10
Irkutsk,0,1,0,30,10
Mongolia,0,0,1,30,10
Japan,0,0,1,30,10
China,0,1,0,30,10
India,0,1,0,30,10
Siam,0,1,0,30,10
Indonesia,0,1,0,30,10
New Guinea,0,1,0,30,10
Western Australia,1,0,0,30,10
Eastern Australia,0,1,0,30,10
Middle East,0,1,0,30,10
