Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,11,4
Northwest Territory,0,2,0,11,4
Greenland,0,9,0,11,4
Alberta,1,0,0,11,4
Ontario,1,0,0,11,4
Quebec,0,1,0,11,4
Western United States,1,0,0,11,4
Eastern United States,1,0,0,11,4
Central America,1,0,0,11,4
Venezuela,1,0,0,11,4
Peru,2,0,0,11,4
Brazil,1,0,0,11,4
Argentina,1,0,0,11,4
North Africa,1,0,0,11,4
Egypt,1,0,0,11,4
East Africa,1,0,0,11,4
Congo,1,0,0,11,4
South Africa,0,1,0,11,4
Madagascar,0,1,0,11,4
Western Europe,0,1,0,11,4
Southern Europe,1,0,0,11,4
Northern Europe,0,1,0,11,4
Great Britain,0,1,0,11,4
Iceland,0,0,1,11,4
Scandinavia,0,0,1,11,4
Ukraine,1,0,0,11,4
Afghanistan,0,1,0,11,4
Ural,1,0,0,11,4
Siberia,1,0,0,11,4
Yakutsk,1,0,0,11,4
Kamchatka,1,0,0,11,4
Irkutsk,1,0,0,11,4
Mongolia,0,0,1,11,4
Japan,0,1,0,11,4
China,0,0,1,11,4
India,0,1,0,11,4
Siam,0,1,0,11,4
Indonesia,1,0,0,11,4
New Guinea,1,0,0,11,4
Western Australia,1,0,0,11,4
Eastern Australia,1,0,0,11,4
Middle East,0,1,0,11,4
