Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,44,15
Northwest Territory,1,0,0,44,15
Greenland,1,0,0,44,15
Alberta,1,0,0,44,15
Ontario,37,0,0,44,15
Quebec,1,0,0,44,15
Western United States,1,0,0,44,15
Eastern United States,1,0,0,44,15
Central America,21,0,0,44,15
Venezuela,23,0,0,44,15
Peru,1,0,0,44,15
Brazil,1,0,0,44,15
Argentina,1,0,0,44,15
North Africa,1,0,0,44,15
Egypt,0,1,0,44,15
East Africa,0,1,0,44,15
Congo,1,0,0,44,15
South Africa,0,1,0,44,15
Madagascar,0,33,0,44,15
Western Europe,0,0,1,44,15
Southern Europe,0,0,1,44,15
Northern Europe,0,0,1,44,15
Great Britain,0,0,1,44,15
Iceland,1,0,0,44,15
Scandinavia,0,0,1,44,15
Ukraine,0,0,39,44,15
Afghanistan,0,0,4,44,15
Ural,0,0,1,44,15
Siberia,0,0,1,44,15
Yakutsk,1,0,0,44,15
Kamchatka,1,0,0,44,15
Irkutsk,0,0,1,44,15
Mongolia,0,0,1,44,15
Japan,0,1,0,44,15
China,0,0,1,44,15
India,0,0,2,44,15
Siam,0,0,1,44,15
Indonesia,1,0,0,44,15
New Guinea,1,0,0,44,15
Western Australia,36,0,0,44,15
Eastern Australia,1,0,0,44,15
Middle East,0,0,1,44,15
