Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,39,13
Northwest Territory,1,0,0,39,13
Greenland,1,0,0,39,13
Alberta,1,0,0,39,13
Ontario,27,0,0,39,13
Quebec,1,0,0,39,13
Western United States,1,0,0,39,13
Eastern United States,1,0,0,39,13
Central America,11,0,0,39,13
Venezuela,22,0,0,39,13
Peru,1,0,0,39,13
Brazil,1,0,0,39,13
Argentina,1,0,0,39,13
North Africa,1,0,0,39,13
Egypt,0,1,0,39,13
East Africa,0,1,0,39,13
Congo,1,0,0,39,13
South Africa,0,1,0,39,13
Madagascar,0,30,0,39,13
Western Europe,0,0,1,39,13
Southern Europe,0,0,1,39,13
Northern Europe,0,0,34,39,13
Great Britain,0,0,1,39,13
Iceland,1,0,0,39,13
Scandinavia,0,0,1,39,13
Ukraine,0,0,1,39,13
Afghanistan,0,0,4,39,13
Ural,0,0,1,39,13
Siberia,0,0,1,39,13
Yakutsk,1,0,0,39,13
Kamchatka,1,0,0,39,13
Irkutsk,0,0,1,39,13
Mongolia,0,0,1,39,13
Japan,0,1,0,39,13
China,0,0,1,39,13
India,0,0,2,39,13
Siam,0,0,1,39,13
Indonesia,1,0,0,39,13
New Guinea,1,0,0,39,13
Western Australia,25,0,0,39,13
Eastern Australia,1,0,0,39,13
Middle East,0,0,1,39,13
