Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,1,0,27,9
Northwest Territory,0,1,0,27,9
Greenland,0,1,0,27,9
Alberta,1,0,0,27,9
Ontario,0,1,0,27,9
Quebec,1,0,0,27,9
Western United States,1,0,0,27,9
Eastern United States,1,0,0,27,9
Central America,1,0,0,27,9
Venezuela,23,0,0,27,9
Peru,1,0,0,27,9
Brazil,0,2,0,27,9
Argentina,1,0,0,27,9
North Africa,0,1,0,27,9
Egypt,0,1,0,27,9
East Africa,0,3,0,27,9
Congo,1,0,0,27,9
South Africa,0,1,0,27,9
Madagascar,0,5,0,27,9
Western Europe,0,0,1,27,9
Southern Europe,0,0,1,27,9
Northern Europe,0,0,14,27,9
Great Britain,0,0,1,27,9
Iceland,0,0,1,27,9
Scandinavia,0,0,1,27,9
Ukraine,0,0,1,27,9
Afghanistan,0,0,4,27,9
Ural,0,0,1,27,9
Siberia,0,0,1,27,9
Yakutsk,1,0,0,27,9
Kamchatka,1,0,0,27,9
Irkutsk,0,0,1,27,9
Mongolia,0,0,1,27,9
Japan,0,1,0,27,9
China,0,0,1,27,9
India,0,0,2,27,9
Siam,0,0,1,27,9
Indonesia,1,0,0,27,9
New Guinea,1,0,0,27,9
Western Australia,10,0,0,27,9
Eastern Australia,1,0,0,27,9
Middle East,0,0,1,27,9
