Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,10,4
Northwest Territory,0,0,1,10,4
Greenland,0,9,0,10,4
Alberta,1,0,0,10,4
Ontario,1,0,0,10,4
Quebec,0,1,0,10,4
Western United States,1,0,0,10,4
Eastern United States,1,0,0,10,4
Central America,1,0,0,10,4
Venezuela,1,0,0,10,4
Peru,2,0,0,10,4
Brazil,1,0,0,10,4
Argentina,1,0,0,10,4
North Africa,1,0,0,10,4
Egypt,1,0,0,10,4
East Africa,1,0,0,10,4
Congo,1,0,0,10,4
South Africa,0,1,0,10,4
Madagascar,0,1,0,10,4
Western Europe,0,1,0,10,4
Southern Europe,1,0,0,10,4
Northern Europe,0,1,0,10,4
Great Britain,0,1,0,10,4
Iceland,0,0,1,10,4
Scandinavia,0,0,1,10,4
Ukraine,1,0,0,10,4
Afghanistan,0,1,0,10,4
Ural,1,0,0,10,4
Siberia,1,0,0,10,4
Yakutsk,1,0,0,10,4
Kamchatka,1,0,0,10,4
Irkutsk,1,0,0,10,4
Mongolia,0,0,1,10,4
Japan,0,1,0,10,4
China,0,0,1,10,4
India,0,1,0,10,4
Siam,0,1,0,10,4
Indonesia,1,0,0,10,4
New Guinea,1,0,0,10,4
Western Australia,1,0,0,10,4
Eastern Australia,1,0,0,10,4
Middle East,0,1,0,10,4
