Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,30,10
Northwest Territory,1,0,0,30,10
Greenland,1,0,0,30,10
Alberta,1,0,0,30,10
Ontario,8,0,0,30,10
Quebec,1,0,0,30,10
Western United States,1,0,0,30,10
Eastern United States,1,0,0,30,10
Central America,1,0,0,30,10
Venezuela,26,0,0,30,10
Peru,1,0,0,30,10
Brazil,1,0,0,30,10
Argentina,1,0,0,30,10
North Africa,1,0,0,30,10
Egypt,0,1,0,30,10
East Africa,0,1,0,30,10
Congo,1,0,0,30,10
South Africa,0,1,0,30,10
Madagascar,0,8,0,30,10
Western Europe,0,0,1,30,10
Southern Europe,0,0,1,30,10
Northern Europe,0,0,1,30,10
Great Britain,0,0,1,30,10
Iceland,1,0,0,30,10
Scandinavia,0,0,1,30,10
Ukraine,0,0,19,30,10
Afghanistan,0,0,4,30,10
Ural,0,0,1,30,10
Siberia,0,0,1,30,10
Yakutsk,1,0,0,30,10
Kamchatka,1,0,0,30,10
Irkutsk,0,0,1,30,10
Mongolia,0,0,1,30,10
Japan,0,1,0,30,10
China,0,0,1,30,10
India,0,0,2,30,10
Siam,0,0,1,30,10
Indonesia,1,0,0,30,10
New Guinea,1,0,0,30,10
Western Australia,10,0,0,30,10
Eastern Australia,1,0,0,30,10
Middle East,0,0,1,30,10
