Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,22,8
Northwest Territory,1,0,0,22,8
Greenland,0,4,0,22,8
Alberta,1,0,0,22,8
Ontario,0,3,0,22,8
Quebec,1,0,0,22,8
Western United States,1,0,0,22,8
Eastern United States,1,0,0,22,8
Central America,1,0,0,22,8
Venezuela,20,0,0,22,8
Peru,1,0,0,22,8
Brazil,1,0,0,22,8
Argentina,1,0,0,22,8
North Africa,0,0,1,22,8
Egypt,0,0,1,22,8
East Africa,1,0,0,22,8
Congo,1,0,0,22,8
South Africa,0,3,0,22,8
Madagascar,0,2,0,22,8
Western Europe,0,0,1,22,8
Southern Europe,0,0,9,22,8
Northern Europe,0,0,1,22,8
Great Britain,0,0,1,22,8
Iceland,0,0,1,22,8
Scandinavia,0,0,1,22,8
Ukraine,0,0,1,22,8
Afghanistan,0,1,0,22,8
Ural,0,0,1,22,8
Siberia,0,0,1,22,8
Yakutsk,1,0,0,22,8
Kamchatka,1,0,0,22,8
Irkutsk,0,0,1,22,8
Mongolia,0,0,1,22,8
Japan,0,1,0,22,8
China,0,0,1,22,8
India,0,1,0,22,8
Siam,0,1,0,22,8
Indonesia,1,0,0,22,8
New Guinea,5,0,0,22,8
Western Australia,8,0,0,22,8
Eastern Australia,1,0,0,22,8
Middle East,0,1,0,22,8
