Territory,Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,4,2
Northwest Territory,3,0,0,4,2
Greenland,0,7,0,4,2
Alberta,1,0,0,4,2
Ontario,0,0,1,4,2
Quebec,0,1,0,4,2
Western United States,0,0,1,4,2
Eastern United States,1,0,0,4,2
Central America,1,0,0,4,2
Venezuela,1,0,0,4,2
Peru,0,0,1,4,2
Brazil,1,0,0,4,2
Argentina,1,0,0,4,2
North Africa,1,0,0,4,2
Egypt,1,0,0,4,2
East Africa,1,0,0,4,2
Congo,1,0,0,4,2
South Africa,0,1,0,4,2
Madagascar,0,1,0,4,2
Western Europe,0,1,0,4,2
Southern Europe,1,0,0,4,2
Northern Europe,0,1,0,4,2
Great Britain,0,1,0,4,2
Iceland,0,0,1,4,2
Scandinavia,0,0,1,4,2
Ukraine,1,0,0,4,2
Afghanistan,0,1,0,4,2
Ural,1,0,0,4,2
Siberia,1,0,0,4,2
Yakutsk,1,0,0,4,2
Kamchatka,1,0,0,4,2
Irkutsk,1,0,0,4,2
Mongolia,0,0,1,4,2
Japan,0,1,0,4,2
China,0,0,1,4,2
India,0,1,0,4,2
Siam,0,1,0,4,2
Indonesia,0,1,0,4,2
New Guinea,1,0,0,4,2
Western Australia,0,0,1,4,2
Eastern Australia,1,0,0,4,2
Middle East,0,1,0,4,2
