Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,12,4
Northwest Territory,0,0,1,12,4
Greenland,0,0,1,12,4
Alberta,0,0,1,12,4
Ontario,0,0,4,12,4
Quebec,0,0,1,12,4
Western United States,0,0,1,12,4
Eastern United States,0,0,12,12,4
Central America,0,0,1,12,4
Venezuela,7,0,0,12,4
Peru,1,0,0,12,4
Brazil,11,0,0,12,4
Argentina,20,0,0,12,4
North Africa,1,0,0,12,4
Egypt,1,0,0,12,4
East Africa,1,0,0,12,4
Congo,1,0,0,12,4
South Africa,1,0,0,12,4
Madagascar,1,0,0,12,4
Western Europe,0,0,1,12,4
Southern Europe,0,0,1,12,4
Northern Europe,0,0,1,12,4
Great Britain,0,0,1,12,4
Iceland,0,1,0,12,4
Scandinavia,0,1,0,12,4
Ukraine,0,0,1,12,4
Afghanistan,1,0,0,12,4
Ural,1,0,0,12,4
Siberia,0,0,1,12,4
Yakutsk,1,0,0,12,4
Kamchatka,0,1,0,12,4
Irkutsk,0,0,1,12,4
Mongolia,0,0,1,12,4
Japan,1,0,0,12,4
China,0,0,1,12,4
India,1,0,0,12,4
Siam,0,1,0,12,4
Indonesia,0,0,1,12,4
New Guinea,0,1,0,12,4
Western Australia,0,1,0,12,4
Eastern Australia,0,1,0,12,4
Middle East,1,0,0,12,4
