Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,1,0,0,18,6
Northwest Territory,1,0,0,18,6
Greenland,1,0,0,18,6
Alberta,0,0,1,18,6
Ontario,1,0,0,18,6
Quebec,0,0,1,18,6
Western United States,1,0,0,18,6
Eastern United States,1,0,0,18,6
Central America,1,0,0,18,6
Venezuela,1,0,0,18,6
Peru,1,0,0,18,6
Brazil,30,0,0,18,6
Argentina,1,0,0,18,6
North Africa,1,0,0,18,6
Egypt,1,0,0,18,6
East Africa,1,0,0,18,6
Congo,1,0,0,18,6
South Africa,1,0,0,18,6
Madagascar,1,0,0,18,6
Western Europe,0,0,1,18,6
Southern Europe,0,0,1,18,6
Northern Europe,0,0,1,18,6
Great Britain,0,0,1,18,6
Iceland,0,1,0,18,6
Scandinavia,0,1,0,18,6
Ukraine,0,0,3,18,6
Afghanistan,1,0,0,18,6
Ural,1,0,0,18,6
Siberia,0,0,1,18,6
Yakutsk,1,0,0,18,6
Kamchatka,1,0,0,18,6
Irkutsk,0,0,1,18,6
Mongolia,0,0,1,18,6
Japan,1,0,0,18,6
China,0,0,1,18,6
India,1,0,0,18,6
Siam,0,1,0,18,6
Indonesia,0,1,0,18,6
New Guinea,0,1,0,18,6
Western Australia,0,1,0,18,6
Eastern Australia,0,1,0,18,6
Middle East,1,0,0,18,6
