Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,2,0,0,20,7
Northwest Territory,1,0,0,20,7
Greenland,1,0,0,20,7
Alberta,1,0,0,20,7
Ontario,1,0,0,20,7
Quebec,1,0,0,20,7
Western United States,1,0,0,20,7
Eastern United States,1,0,0,20,7
Central America,1,0,0,20,7
Venezuela,1,0,0,20,7
Peru,1,0,0,20,7
Brazil,1,0,0,20,7
Argentina,1,0,0,20,7
North Africa,40,0,0,20,7
Egypt,1,0,0,20,7
East Africa,1,0,0,20,7
Congo,1,0,0,20,7
South Africa,1,0,0,20,7
Madagascar,1,0,0,20,7
Western Europe,0,0,1,20,7
Southern Europe,0,0,1,20,7
Northern Europe,0,1,0,20,7
Great Britain,0,1,0,20,7
Iceland,0,1,0,20,7
Scandinavia,0,1,0,20,7
Ukraine,0,0,3,20,7
Afghanistan,1,0,0,20,7
Ural,1,0,0,20,7
Siberia,0,0,1,20,7
Yakutsk,1,0,0,20,7
Kamchatka,1,0,0,20,7
Irkutsk,0,0,1,20,7
Mongolia,0,0,1,20,7
Japan,1,0,0,20,7
China,0,0,1,20,7
India,1,0,0,20,7
Siam,0,1,0,20,7
Indonesia,0,1,0,20,7
New Guinea,0,1,0,20,7
Western Australia,0,1,0,20,7
Eastern Australia,0,1,0,20,7
Middle East,1,0,0,20,7
