Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,1,0,0,22,8
Northwest Territory,1,0,0,22,8
Greenland,1,0,0,22,8
Alberta,10,0,0,22,8
Ontario,1,0,0,22,8
Quebec,1,0,0,22,8
Western United States,1,0,0,22,8
Eastern United States,1,0,0,22,8
Central America,1,0,0,22,8
Venezuela,1,0,0,22,8
Peru,1,0,0,22,8
Brazil,1,0,0,22,8
Argentina,1,0,0,22,8
North Africa,0,0,1,22,8
Egypt,0,0,1,22,8
East Africa,0,1,0,22,8
Congo,0,2,0,22,8
South Africa,0,1,0,22,8
Madagascar,0,1,0,22,8
Western Europe,0,0,1,22,8
Southern Europe,0,0,6,22,8
Northern Europe,0,0,2,22,8
Great Britain,0,0,1,22,8
Iceland,1,0,0,22,8
Scandinavia,1,0,0,22,8
Ukraine,0,0,2,22,8
Afghanistan,0,0,1,22,8
Ural,0,0,1,22,8
Siberia,1,0,0,22,8
Yakutsk,15,0,0,22,8
Kamchatka,1,0,0,22,8
Irkutsk,1,0,0,22,8
Mongolia,0,0,1,22,8
Japan,0,0,1,22,8
China,0,0,1,22,8
India,0,0,1,22,8
Siam,0,0,1,22,8
Indonesia,0,0,2,22,8
New Guinea,0,0,1,22,8
Western Australia,0,0,1,22,8
Eastern Australia,0,0,1,22,8
Middle East,0,0,1,22,8
