Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,1,0,0,18,6
Northwest Territory,1,0,0,18,6
Greenland,7,0,0,18,6
Alberta,1,0,0,18,6
Ontario,1,0,0,18,6
Quebec,1,0,0,18,6
Western United States,1,0,0,18,6
Eastern United States,1,0,0,18,6
Central America,1,0,0,18,6
Venezuela,1,0,0,18,6
Peru,1,0,0,18,6
Brazil,1,0,0,18,6
Argentina,1,0,0,18,6
North Africa,1,0,0,18,6
Egypt,0,0,1,18,6
East Africa,0,0,1,18,6
Congo,0,1,0,18,6
South Africa,0,1,0,18,6
Madagascar,0,1,0,18,6
Western Europe,0,1,0,18,6
Southern Europe,1,0,0,18,6
Northern Europe,0,0,1,18,6
Great Britain,0,2,0,18,6
Iceland,0,1,0,18,6
Scandinavia,0,2,0,18,6
Ukraine,0,0,15,18,6
Afghanistan,0,0,1,18,6
Ural,0,0,1,18,6
Siberia,1,0,0,18,6
Yakutsk,2,0,0,18,6
Kamchatka,1,0,0,18,6
Irkutsk,1,0,0,18,6
Mongolia,0,0,1,18,6
Japan,0,0,1,18,6
China,0,0,1,18,6
India,0,0,1,18,6
Siam,0,0,1,18,6
Indonesia,0,0,2,18,6
New Guinea,0,0,1,18,6
Western Australia,0,0,1,18,6
Eastern Australia,0,0,1,18,6
Middle East,0,0,1,18,6
